DATE,S4248SM144NCEN
2023-02-21,30
2023-02-20,60
2023-02-14,0
2023-02-10,12
2023-02-09,0
2023-02-06,15
2023-02-03,27
2023-02-02,450
2023-01-27,30
2023-01-23,15
2023-01-23,0
2023-01-20,114
2023-01-20,60
2023-01-17,41
2023-01-17,0
2023-01-16,150
2023-01-16,22
2023-01-16,0
2023-01-16,0
2023-01-15,36
2023-01-15,12
2023-01-15,0
2023-01-13,60
2023-01-12,33
2023-01-12,30
2023-01-11,24
2023-01-10,18
2023-01-10,12
2023-01-06,12
2023-01-05,7
2023-01-03,18
2022-12-10,0
2022-12-08,75
2022-12-07,115
2022-12-03,180
2022-12-03,45
2022-12-02,30
2022-11-30,13
2022-11-28,60
2022-11-25,45
2022-11-19,30
2022-11-09,11
2022-11-09,8
2022-11-07,105
2022-11-06,0
2022-11-04,105
2022-10-31,7
2022-10-27,0
2022-10-21,9
2022-10-14,0
2022-10-12,750
2022-10-12,39
2022-10-02,18
2022-09-19,60
2022-09-16,57
2022-09-09,0
2022-09-07,15
2022-08-31,12
2022-08-29,90
2022-08-22,0
2022-08-04,24
2022-08-03,0
2022-08-02,30
2022-08-01,0
2022-07-29,300
2022-07-28,0
2022-07-15,30
2022-07-12,45
2022-06-30,51
2022-06-29,105
2022-06-29,12
2022-06-28,90
2022-06-28,0
2022-06-27,54
2022-06-21,0
2022-06-20,24
2022-06-19,57
2022-06-18,45
2022-06-16,12
2022-06-14,15
2022-06-10,75
2022-06-07,54
2022-06-04,12
2022-06-02,42
2022-06-01,30
2022-05-30,30
2022-05-27,43
2022-05-27,12
2022-05-21,180
2022-05-19,180
2022-05-18,127
2022-05-05,60
2022-04-11,45
2022-04-07,300
2022-03-30,105
2022-03-26,54
2022-03-15,90
2022-02-24,9
2022-02-21,45
2021-07-26,24
2021-02-23,60
2021-02-22,60
2021-01-27,540
2021-01-06,540
2020-12-08,180
2020-10-10,75
2020-08-31,105
2020-07-27,105
2020-07-17,36
2020-07-10,42
2020-07-09,12
2020-06-29,39
2020-06-17,12
2020-06-16,450
2020-06-01,105
2020-05-28,81
2020-05-26,180
2020-05-25,60
2020-05-21,21
2020-05-20,420
2020-05-20,30.3
2020-05-19,135
2020-05-18,330
2020-05-18,30
2020-05-17,75
2020-05-15,156
2020-05-15,150
2020-05-04,240
2020-05-01,0
2020-04-21,240
2020-04-21,150
2020-04-17,60
2020-04-16,18
2020-04-15,60
2020-04-08,60
2020-04-02,12
2020-04-02,1.8
2020-04-02,0
2020-04-01,13
2020-03-30,24
2020-03-28,75
2020-03-26,60
2020-03-19,36
